product_id,color,image,money,name,brand_id,category_id
19,black,https://deichmann.scene7.com/asset/deichmann/US_01_401196_01?$rr_main$&defaultImage=default_obs,80,"ADIDAS WOMENS EQ21 RUN RUNNING SHOE",1,2
20,white,https://deichmann.scene7.com/asset/deichmann/US_01_401058_01?$rr_main$&defaultImage=default_obs,80,"ADIDAS WOMENS EQ21 RUN RUNNING SHOE",1,2
21,grey,https://deichmann.scene7.com/asset/deichmann/US_01_601016_01?$rr_main$&defaultImage=default_obs,75,"NIKE MENS WAFFLE DEBUT SNEAKER",2,1
22,gold,https://deichmann.scene7.com/asset/deichmann/US_01_600785_01?$rr_main$&defaultImage=default_obs,75,"NIKE MENS WAFFLE DEBUT SNEAKER",2,1
23,wheat,https://deichmann.scene7.com/asset/deichmann/US_01_601111_01?$rr_main$&defaultImage=default_obs,95,"NIKE MENS COURT VISION MID WINTER SNEAKER BOOT",2,1
24,white,https://deichmann.scene7.com/asset/deichmann/US_01_601132_01?$rr_main$&defaultImage=default_obs,70,"NIKE MENS COURT LEGACY LOW SNEAKER",2,1
25,black,https://deichmann.scene7.com/asset/deichmann/US_01_600239_01?$rr_main$&defaultImage=default_obs,70,"NIKE MENS COURT LEGACY LOW SNEAKER",2,1
26,grey,https://deichmann.scene7.com/asset/deichmann/US_01_601011_01?$rr_main$&defaultImage=default_obs,85,"NIKE MENS COURT VISION MID SNEAKER",2,1
27,red,https://deichmann.scene7.com/asset/deichmann/US_01_600547_01?$rr_main$&defaultImage=default_obs,85,"NIKE MENS COURT VISION MID SNEAKER",2,1
28,white,https://deichmann.scene7.com/asset/deichmann/US_01_600814_01?$rr_main$&defaultImage=default_obs,85,"NIKE MENS COURT VISION MID SNEAKER",2,1
29,grey,https://deichmann.scene7.com/asset/deichmann/US_01_601104_01?$rr_main$&defaultImage=default_obs,95,"NIKE MENS AIR PEGASUS 83 SNEAKER",2,1
30,white,https://deichmann.scene7.com/asset/deichmann/US_01_601105_01?$rr_main$&defaultImage=default_obs,95,"NIKE MENS AIR PEGASUS 83 SNEAKER",2,1
31,white,https://deichmann.scene7.com/asset/deichmann/US_01_401377_01?$rr_main$&defaultImage=default_obs,90,"NIKE WOMENS COURT LEGACY LIFT SNEAKER",2,2
32,bone,https://deichmann.scene7.com/asset/deichmann/US_01_401378_01?$rr_main$&defaultImage=default_obs,90,"NIKE WOMENS COURT LEGACY LIFT SNEAKER",2,2
33,white,https://deichmann.scene7.com/asset/deichmann/US_01_401514_01?$rr_main$&defaultImage=default_obs,75,"NIKE WOMENS WAFFLE DEBUT SNEAKER",2,2
34,gold,https://deichmann.scene7.com/asset/deichmann/US_01_400863_01?$rr_main$&defaultImage=default_obs,75,"NIKE WOMENS WAFFLE DEBUT SNEAKER",2,2
35,white,https://deichmann.scene7.com/asset/deichmann/US_01_401501_01?$rr_main$&defaultImage=default_obs,90,"NIKE WOMENS AIR MAX SC SNEAKER",2,2
36,pink,https://deichmann.scene7.com/asset/deichmann/US_01_400477_01?$rr_main$&defaultImage=default_obs,90,"NIKE WOMENS AIR MAX SC SNEAKER",2,2
37,black,https://deichmann.scene7.com/asset/deichmann/US_01_400648_01?$rr_main$&defaultImage=default_obs,90,"NIKE WOMENS AIR MAX SC SNEAKER",2,2
38,white,https://deichmann.scene7.com/asset/deichmann/US_01_401507_01?$rr_main$&defaultImage=default_obs,85,"NIKE WOMENS COURT VISION ALTA SNEAKER",2,2
39,purple,https://deichmann.scene7.com/asset/deichmann/US_01_400895_01?$rr_main$&defaultImage=default_obs,85,"NIKE WOMENS COURT VISION ALTA SNEAKER",2,2
40,pink,https://deichmann.scene7.com/asset/deichmann/US_01_401380_01?$rr_main$&defaultImage=default_obs,85,"NIKE WOMENS COURT VISION ALTA SNEAKER",2,2
